date,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
196307,    0.49,   -1.41,   -0.60,   -0.32,   -1.38,    0.34,    1.07,   -1.14,   -1.76,   -0.09,   -1.45,    0.94,   -2.28,   -1.27,   -1.48
196308,    4.67,    6.51,    5.61,    6.56,    7.80,    4.26,    6.26,    6.26,    6.81,    5.80,    5.23,    6.50,    6.66,   10.24,    5.26
196309,   -0.76,   -1.83,   -2.06,   -2.42,   -2.37,   -0.32,   -2.24,   -1.99,   -1.60,   -1.59,   -2.53,   -3.58,   -0.46,   -2.54,   -2.18
196310,    3.20,    2.31,    1.82,    2.56,    2.86,    4.11,    0.87,    1.85,    2.85,    1.60,    2.05,    1.97,    3.46,    4.60,    1.36
196311,   -0.34,   -1.18,   -0.22,   -0.90,   -1.32,   -0.08,   -0.85,   -0.74,   -1.72,   -0.85,    0.67,   -0.87,   -0.94,   -0.08,   -2.36
196312,    2.94,    1.37,    1.32,    1.62,   -0.20,    1.51,    4.61,    1.37,    1.36,    1.43,    1.21,    1.97,    1.06,   -0.24,   -0.17
196401,    3.37,    1.74,    1.87,    2.83,   -1.04,    3.70,    2.90,    0.94,    2.34,    1.46,    2.49,    1.64,    4.03,   -0.58,   -1.40
196402,    1.33,    1.91,    1.87,    5.27,    1.93,    1.11,    1.92,    1.31,    2.87,    2.10,    1.51,    5.62,    4.66,    2.59,    1.40
196403,    1.15,    2.53,    2.34,    3.00,    1.59,    0.86,    1.63,    2.88,    1.77,    2.51,    2.10,    3.25,    2.71,    1.07,    1.97
196404,    1.33,   -0.45,   -0.42,   -2.39,   -1.30,    1.40,    1.16,   -0.99,    0.64,   -0.11,   -0.80,   -1.80,   -3.44,   -2.71,    0.12
196405,    1.72,    1.32,    0.82,    1.22,    4.02,    1.88,    1.12,    0.72,    2.18,    0.98,    0.58,    0.87,    1.67,    5.98,    1.77
196406,    1.62,    1.89,    1.93,    1.43,   -0.41,    1.80,    1.17,    1.80,    2.00,    2.32,    1.29,    1.43,    1.42,    0.63,   -1.66
196407,    1.99,    3.07,    1.31,    2.24,   -0.16,    1.62,    3.14,    2.70,    3.46,    1.91,    0.65,    1.48,    3.09,   -1.36,    1.42
196408,   -1.23,   -1.10,   -0.59,   -0.97,   -1.83,   -1.30,   -0.93,   -1.48,   -0.46,   -0.41,   -0.81,   -0.25,   -2.08,   -2.36,   -1.19
196409,    2.57,    2.16,    3.82,    5.62,    6.08,    2.58,    2.54,    1.79,    2.59,    3.12,    4.58,    5.57,    5.70,    6.75,    5.08
196410,    0.66,    1.60,    1.18,    1.88,   -1.23,    0.91,   -0.16,    1.93,    1.19,    1.38,    0.98,    2.36,    1.24,   -1.71,   -0.62
196411,    0.50,   -0.14,    0.81,    0.39,   -2.80,    0.46,    0.66,   -0.22,    0.00,    0.99,    0.62,    2.26,   -2.06,   -2.86,   -2.72
196412,    0.78,   -0.13,    0.19,   -0.43,   -0.57,    1.03,   -0.06,    0.13,   -0.63,   -0.36,    0.80,   -0.50,   -0.33,    0.47,   -1.87
196501,    3.09,    4.48,    4.94,    3.93,    7.48,    2.03,    5.68,    4.45,    4.53,    4.56,    5.55,    3.14,    5.53,    4.93,    9.92
196502,   -0.53,    1.87,    2.26,    3.21,    4.78,   -0.86,    0.40,    1.54,    2.52,    2.47,    2.03,    3.31,    3.05,    5.20,    4.34
196503,   -1.17,   -0.98,   -0.65,   -0.84,    0.64,   -1.35,   -0.47,   -0.82,   -1.24,   -0.74,   -0.53,   -0.48,   -1.33,    0.96,    0.37
196504,    3.29,    2.65,    3.96,    5.83,    3.13,    3.78,    1.58,    1.92,    3.91,    3.34,    4.69,    5.94,    5.67,    2.84,    3.45
196505,   -0.50,    0.09,   -0.14,   -1.27,   -1.32,   -0.33,   -0.99,    0.59,   -0.35,    0.12,   -0.42,   -0.63,   -2.20,   -0.10,   -2.34
196506,   -4.14,   -4.80,   -6.56,   -8.33,  -11.32,   -4.06,   -4.34,   -4.14,   -6.15,   -6.63,   -6.48,   -8.03,   -8.74,   -9.50,  -12.92
196507,    1.55,    1.09,    1.81,    2.90,    5.66,    1.56,    1.53,    0.73,    1.90,    0.88,    3.03,    3.50,    1.96,    7.95,    3.37
196508,    2.11,    3.15,    4.65,    6.14,    7.40,    1.63,    3.16,    2.97,    3.41,    4.73,    4.57,    6.71,    5.25,    7.89,    6.82
